Feature,Coefficient,Absolute
categorical__DeviceInfo_SM-T377V Build/NMF26X,-103.03703824861391,103.03703824861391
categorical__id_31_chrome 51.0 for android,102.75110699073349,102.75110699073349
categorical__id_30_Mac OS X 10_8_5,102.74499475224978,102.74499475224978
categorical__id_31_aol,101.8707782386608,101.8707782386608
categorical__id_33_1280x1025,-101.63573332527793,101.63573332527793
categorical__DeviceInfo_Touch,100.71358894182028,100.71358894182028
categorical__id_33_2732x2048,-100.6143967792262,100.6143967792262
categorical__DeviceInfo_Alcatel_4060A,100.5549648428835,100.5549648428835
categorical__id_33_3840x2160,-100.27784951392492,100.27784951392492
categorical__DeviceInfo_SM-G930U Build/NRD90M,99.9056467890202,99.9056467890202
categorical__DeviceInfo_M4 SS4456 Build/LMY47V,98.91707200329631,98.91707200329631
numeric__V225,-98.8522814507206,98.8522814507206
categorical__id_33_960x540,-98.79389383756188,98.79389383756188
categorical__id_33_1280x800,-98.456880954199,98.456880954199
categorical__id_33_1776x1000,-98.2625381970906,98.2625381970906
categorical__DeviceInfo_D5803 Build/23.5.A.1.291,97.12035552844613,97.12035552844613
categorical__id_30_Mac OS X 10_13_1,97.1080155029128,97.1080155029128
categorical__id_33_2048x1536,-96.55016043756967,96.55016043756967
categorical__id_33_3200x1800,-96.34103615370779,96.34103615370779
categorical__id_33_1280x960,-95.64781964761738,95.64781964761738
categorical__id_33_1366x768,-95.17824212568458,95.17824212568458
categorical__id_33_1440x900,-95.17450944860789,95.17450944860789
categorical__DeviceInfo_rv:42.0,-95.12360991932802,95.12360991932802
categorical__DeviceInfo_SAMSUNG SM-G935F Build/NRD90M,95.05055733541832,95.05055733541832
categorical__DeviceInfo_rv:56.0,-94.62976186463851,94.62976186463851
categorical__id_33_1920x1200,-94.3282276298339,94.3282276298339
categorical__id_33_1334x750,-94.29154897447806,94.29154897447806
categorical__id_33_1024x768,-93.7276032355322,93.7276032355322
categorical__id_33_1136x640,-93.7051836010973,93.7051836010973
categorical__id_33_1280x1024,-93.55575312443109,93.55575312443109
categorical__DeviceInfo_Linux x86_64,-93.49578645288986,93.49578645288986
categorical__id_30_Mac OS X 10_7_5,93.12033615307098,93.12033615307098
categorical__DeviceInfo_HTC U11 Build/NMF26X,93.03130319463015,93.03130319463015
categorical__DeviceInfo_XT1650,-92.4974170395492,92.4974170395492
categorical__DeviceInfo_SAMSUNG-SM-G930A,-92.37907930057406,92.37907930057406
categorical__DeviceInfo_SM-T350 Build/MMB29M,92.37895349640839,92.37895349640839
categorical__id_30_Mac OS X 10_10_5,92.01132679114649,92.01132679114649
categorical__id_33_1360x768,-91.67633094491354,91.67633094491354
categorical__id_30_Mac OS X 10_12_6,91.4783865727848,91.4783865727848
categorical__R_emaildomain_outlook.es,91.4063714710608,91.4063714710608
