Feature,Importance
categorical__id_23_IP_PROXY:TRANSPARENT,0.0005302162935929202
numeric__V137,0.0005292192347307765
categorical__id_37_T,0.0005273791424398845
numeric__V35,0.0005271637612926926
numeric__V235,0.0005258742609338474
numeric__V30,0.0005238783146342853
categorical__id_33_2208x1242,0.0005215171079336701
categorical__id_12_NotFound,0.0005156432947575708
numeric__addr2,0.0005132037497702828
numeric__V290,0.0005068951964380434
categorical__DeviceInfo_QTASUN1 Build/NRD90M,0.0005012771165966123
numeric__V267,0.0004958563543636078
numeric__V55,0.0004898181799991978
numeric__V322,0.00048227028868834274
numeric__V122,0.00047382119108021483
numeric__V324,0.00046857388061226883
categorical__id_34_match_status:1,0.00046316360322111054
categorical__id_31_chrome 62.0 for android,0.00046122061437096093
numeric__V173,0.000451815129745371
categorical__R_emaildomain_aol.com,0.00045090955561206025
numeric__V331,0.0004337101744040036
categorical__id_34_match_status:2,0.00042348727441871443
numeric__V180,0.0004171734142789061
categorical__R_emaildomain_icloud.com,0.000414176994536193
categorical__R_emaildomain_hotmail.com,0.00040751442258504247
numeric__V48,0.00040629297012802906
numeric__V56,0.0004053196310135045
categorical__id_38_T,0.00040011217780214046
numeric__V98,0.00039898717941887077
numeric__V269,0.00039690726913488045
categorical__DeviceInfo_Windows,0.00039320927118060255
numeric__V226,0.00039280335323112865
categorical__DeviceInfo_XT1635-02 Build/NPN26.118-22-2,0.00038244936046674964
categorical__DeviceInfo_ZEIA8,0.0003739746971194766
categorical__id_31_chrome 62.0,0.00037152776073240347
numeric__V10,0.00037076441363903626
categorical__DeviceInfo_Blade V6 Plus Build/MRA58K,0.00036555444525529626
numeric__V120,0.00036186352927366475
numeric__V104,0.0003601276379294402
categorical__DeviceInfo_SM-A300H Build/LRX22G,0.00035427882242769265
numeric__V139,0.0003442564494085418
numeric__V141,0.00034243951484364167
numeric__V300,0.00034082105944919963
categorical__DeviceInfo_SM-G925T Build/NRD90M,0.00034053069404549655
categorical__ProductCD_W,0.00034006144447033956
categorical__id_31_firefox 57.0,0.0003377686172275218
numeric__V337,0.0003321126328696622
categorical__ProductCD_R,0.0003282658642572195
numeric__V138,0.00032708374982128854
categorical__P_emaildomain_aol.com,0.00032681589212530066
categorical__id_28_New,0.0003202879759341738
categorical__DeviceInfo_iOS Device,0.00031768506359926735
categorical__DeviceInfo_5011A Build/NRD90M,0.0003170980398394146
numeric__V297,0.00031471481706323175
categorical__id_31_chrome 61.0 for android,0.0003096334594359441
categorical__DeviceInfo_F5121 Build/34.3.A.0.228,0.000304770298880285
categorical__id_30_Windows 10,0.00029974140417873385
